rewire_id,label_pred
sexism2022_english-11999,not sexist
sexism2022_english-9895,not sexist
sexism2022_english-11623,not sexist
sexism2022_english-19035,sexist
sexism2022_english-895,not sexist
sexism2022_english-9656,not sexist
sexism2022_english-12064,not sexist
sexism2022_english-1602,not sexist
sexism2022_english-7039,not sexist
sexism2022_english-3399,not sexist
sexism2022_english-4749,not sexist
sexism2022_english-14356,sexist
sexism2022_english-3311,not sexist
sexism2022_english-739,not sexist
sexism2022_english-10510,not sexist
sexism2022_english-8207,not sexist
sexism2022_english-7679,not sexist
sexism2022_english-18028,sexist
sexism2022_english-10787,not sexist
sexism2022_english-7302,sexist
sexism2022_english-15773,not sexist
sexism2022_english-5012,sexist
sexism2022_english-5728,sexist
sexism2022_english-9082,not sexist
sexism2022_english-2821,sexist
sexism2022_english-15012,sexist
sexism2022_english-4586,not sexist
sexism2022_english-18170,not sexist
sexism2022_english-742,sexist
sexism2022_english-6565,not sexist
sexism2022_english-8009,not sexist
sexism2022_english-1122,not sexist
sexism2022_english-18547,sexist
sexism2022_english-6425,not sexist
sexism2022_english-14157,sexist
sexism2022_english-10001,not sexist
sexism2022_english-3900,not sexist
sexism2022_english-12741,not sexist
sexism2022_english-17385,not sexist
sexism2022_english-17447,not sexist
sexism2022_english-8584,not sexist
sexism2022_english-14096,not sexist
sexism2022_english-12980,not sexist
sexism2022_english-12020,not sexist
sexism2022_english-19606,not sexist
sexism2022_english-16633,not sexist
sexism2022_english-19748,not sexist
sexism2022_english-13063,not sexist
sexism2022_english-19630,sexist
sexism2022_english-15023,sexist
sexism2022_english-3623,not sexist
sexism2022_english-814,not sexist
sexism2022_english-3282,not sexist
sexism2022_english-10451,not sexist
sexism2022_english-8553,sexist
sexism2022_english-17476,not sexist
sexism2022_english-11590,not sexist
sexism2022_english-15213,not sexist
sexism2022_english-13520,not sexist
sexism2022_english-15941,not sexist
sexism2022_english-2139,sexist
sexism2022_english-9349,not sexist
sexism2022_english-8766,not sexist
sexism2022_english-587,not sexist
sexism2022_english-514,not sexist
sexism2022_english-9169,not sexist
sexism2022_english-14287,not sexist
sexism2022_english-3699,not sexist
sexism2022_english-15761,not sexist
sexism2022_english-512,not sexist
sexism2022_english-17817,not sexist
sexism2022_english-18779,not sexist
sexism2022_english-15536,not sexist
sexism2022_english-13537,not sexist
sexism2022_english-14791,sexist
sexism2022_english-7758,not sexist
sexism2022_english-15001,sexist
sexism2022_english-12208,not sexist
sexism2022_english-13279,sexist
sexism2022_english-2383,not sexist
sexism2022_english-1214,not sexist
sexism2022_english-10293,not sexist
sexism2022_english-7628,not sexist
sexism2022_english-18543,sexist
sexism2022_english-7997,not sexist
sexism2022_english-19302,not sexist
sexism2022_english-9921,not sexist
sexism2022_english-14501,not sexist
sexism2022_english-2162,not sexist
sexism2022_english-11492,not sexist
sexism2022_english-15180,sexist
sexism2022_english-15646,sexist
sexism2022_english-4670,not sexist
sexism2022_english-17466,not sexist
sexism2022_english-13107,not sexist
sexism2022_english-2894,sexist
sexism2022_english-1245,not sexist
sexism2022_english-12306,not sexist
sexism2022_english-4479,not sexist
sexism2022_english-1229,sexist
sexism2022_english-12468,not sexist
sexism2022_english-16046,not sexist
sexism2022_english-16360,not sexist
sexism2022_english-18961,not sexist
sexism2022_english-1179,not sexist
sexism2022_english-14822,not sexist
sexism2022_english-3704,sexist
sexism2022_english-439,sexist
sexism2022_english-12288,not sexist
sexism2022_english-1174,not sexist
sexism2022_english-15084,sexist
sexism2022_english-17759,sexist
sexism2022_english-11620,sexist
sexism2022_english-6008,not sexist
sexism2022_english-11865,not sexist
sexism2022_english-10474,not sexist
sexism2022_english-1000,sexist
sexism2022_english-21,not sexist
sexism2022_english-5502,not sexist
sexism2022_english-16293,not sexist
sexism2022_english-1369,not sexist
sexism2022_english-161,not sexist
sexism2022_english-13818,sexist
sexism2022_english-3511,not sexist
sexism2022_english-17294,not sexist
sexism2022_english-7429,not sexist
sexism2022_english-3132,not sexist
sexism2022_english-2904,not sexist
sexism2022_english-4706,not sexist
sexism2022_english-16211,not sexist
sexism2022_english-4893,not sexist
sexism2022_english-16622,not sexist
sexism2022_english-1940,not sexist
sexism2022_english-9444,not sexist
sexism2022_english-12400,not sexist
sexism2022_english-16460,sexist
sexism2022_english-18955,not sexist
sexism2022_english-11682,sexist
sexism2022_english-2126,sexist
sexism2022_english-6313,not sexist
sexism2022_english-12925,not sexist
sexism2022_english-12039,not sexist
sexism2022_english-11870,not sexist
sexism2022_english-2297,sexist
sexism2022_english-12847,not sexist
sexism2022_english-17382,not sexist
sexism2022_english-14982,sexist
sexism2022_english-344,not sexist
sexism2022_english-16496,not sexist
sexism2022_english-18924,not sexist
sexism2022_english-19253,sexist
sexism2022_english-8059,sexist
sexism2022_english-12634,not sexist
sexism2022_english-6180,not sexist
sexism2022_english-7754,sexist
sexism2022_english-12411,not sexist
sexism2022_english-18027,not sexist
sexism2022_english-12122,not sexist
sexism2022_english-533,not sexist
sexism2022_english-18060,not sexist
sexism2022_english-10181,not sexist
sexism2022_english-7159,sexist
sexism2022_english-7646,not sexist
sexism2022_english-5691,not sexist
sexism2022_english-1515,not sexist
sexism2022_english-10295,not sexist
sexism2022_english-15208,not sexist
sexism2022_english-8960,not sexist
sexism2022_english-2196,not sexist
sexism2022_english-7771,not sexist
sexism2022_english-18335,sexist
sexism2022_english-5272,not sexist
sexism2022_english-1052,not sexist
sexism2022_english-2021,not sexist
sexism2022_english-7590,not sexist
sexism2022_english-3978,not sexist
sexism2022_english-13049,not sexist
sexism2022_english-10683,not sexist
sexism2022_english-10886,not sexist
sexism2022_english-8911,not sexist
sexism2022_english-2788,not sexist
sexism2022_english-12489,not sexist
sexism2022_english-7307,not sexist
sexism2022_english-16538,not sexist
sexism2022_english-3712,not sexist
sexism2022_english-19132,sexist
sexism2022_english-18925,sexist
sexism2022_english-2647,sexist
sexism2022_english-6067,not sexist
sexism2022_english-14015,not sexist
sexism2022_english-1111,not sexist
sexism2022_english-2060,not sexist
sexism2022_english-3941,sexist
sexism2022_english-16348,not sexist
sexism2022_english-8073,sexist
sexism2022_english-3867,not sexist
sexism2022_english-16171,not sexist
sexism2022_english-8918,not sexist
sexism2022_english-7444,not sexist
sexism2022_english-18050,not sexist
sexism2022_english-11697,sexist
sexism2022_english-17438,not sexist
sexism2022_english-12017,not sexist
sexism2022_english-19387,not sexist
sexism2022_english-19946,sexist
sexism2022_english-7619,not sexist
sexism2022_english-12216,not sexist
sexism2022_english-14069,not sexist
sexism2022_english-8567,sexist
sexism2022_english-12361,not sexist
sexism2022_english-7535,not sexist
sexism2022_english-370,not sexist
sexism2022_english-15019,not sexist
sexism2022_english-6750,not sexist
sexism2022_english-1623,not sexist
sexism2022_english-18165,not sexist
sexism2022_english-16942,not sexist
sexism2022_english-15848,sexist
sexism2022_english-6254,not sexist
sexism2022_english-531,not sexist
sexism2022_english-8771,not sexist
sexism2022_english-9696,not sexist
sexism2022_english-11415,not sexist
sexism2022_english-1527,not sexist
sexism2022_english-8954,not sexist
sexism2022_english-6571,not sexist
sexism2022_english-6050,not sexist
sexism2022_english-5877,sexist
sexism2022_english-18847,not sexist
sexism2022_english-12181,not sexist
sexism2022_english-13715,not sexist
sexism2022_english-10276,not sexist
sexism2022_english-10607,not sexist
sexism2022_english-14641,not sexist
sexism2022_english-18539,not sexist
sexism2022_english-4051,not sexist
sexism2022_english-6786,sexist
sexism2022_english-15161,not sexist
sexism2022_english-1569,not sexist
sexism2022_english-9492,sexist
sexism2022_english-5589,sexist
sexism2022_english-442,not sexist
sexism2022_english-17076,sexist
sexism2022_english-19800,not sexist
sexism2022_english-9216,sexist
sexism2022_english-2955,sexist
sexism2022_english-15877,not sexist
sexism2022_english-9596,sexist
sexism2022_english-6863,not sexist
sexism2022_english-9034,not sexist
sexism2022_english-7355,not sexist
sexism2022_english-18964,not sexist
sexism2022_english-15942,not sexist
sexism2022_english-7319,sexist
sexism2022_english-6822,not sexist
sexism2022_english-9206,not sexist
sexism2022_english-392,not sexist
sexism2022_english-19829,not sexist
sexism2022_english-13944,sexist
sexism2022_english-9395,not sexist
sexism2022_english-6277,sexist
sexism2022_english-15695,not sexist
sexism2022_english-3416,not sexist
sexism2022_english-7323,sexist
sexism2022_english-9487,not sexist
sexism2022_english-18124,not sexist
sexism2022_english-5861,not sexist
sexism2022_english-5562,not sexist
sexism2022_english-13428,not sexist
sexism2022_english-15523,not sexist
sexism2022_english-6499,sexist
sexism2022_english-11653,sexist
sexism2022_english-18664,not sexist
sexism2022_english-240,not sexist
sexism2022_english-10397,not sexist
sexism2022_english-3380,not sexist
sexism2022_english-14571,sexist
sexism2022_english-17359,sexist
sexism2022_english-10075,not sexist
sexism2022_english-11707,not sexist
sexism2022_english-3049,sexist
sexism2022_english-5612,not sexist
sexism2022_english-13516,not sexist
sexism2022_english-2267,not sexist
sexism2022_english-11685,not sexist
sexism2022_english-19704,not sexist
sexism2022_english-3891,not sexist
sexism2022_english-13387,not sexist
sexism2022_english-7499,sexist
sexism2022_english-11381,not sexist
sexism2022_english-3482,sexist
sexism2022_english-8172,sexist
sexism2022_english-12861,not sexist
sexism2022_english-2072,sexist
sexism2022_english-7836,not sexist
sexism2022_english-6082,sexist
sexism2022_english-1543,not sexist
sexism2022_english-11975,not sexist
sexism2022_english-9662,not sexist
sexism2022_english-15919,not sexist
sexism2022_english-7379,not sexist
sexism2022_english-9028,not sexist
sexism2022_english-14394,not sexist
sexism2022_english-5544,not sexist
sexism2022_english-3341,sexist
sexism2022_english-17497,not sexist
sexism2022_english-6614,not sexist
sexism2022_english-9758,sexist
sexism2022_english-15698,not sexist
sexism2022_english-13191,sexist
sexism2022_english-7725,sexist
sexism2022_english-5217,not sexist
sexism2022_english-18934,not sexist
sexism2022_english-14690,not sexist
sexism2022_english-15322,not sexist
sexism2022_english-11802,not sexist
sexism2022_english-8563,not sexist
sexism2022_english-5745,not sexist
sexism2022_english-5110,not sexist
sexism2022_english-16574,not sexist
sexism2022_english-10478,not sexist
sexism2022_english-17315,sexist
sexism2022_english-19790,sexist
sexism2022_english-2504,not sexist
sexism2022_english-3183,not sexist
sexism2022_english-5059,not sexist
sexism2022_english-6257,not sexist
sexism2022_english-2593,sexist
sexism2022_english-15791,not sexist
sexism2022_english-1566,not sexist
sexism2022_english-8387,sexist
sexism2022_english-15002,not sexist
sexism2022_english-10251,not sexist
sexism2022_english-6003,not sexist
sexism2022_english-16422,not sexist
sexism2022_english-19537,not sexist
sexism2022_english-16377,not sexist
sexism2022_english-1073,sexist
sexism2022_english-19492,not sexist
sexism2022_english-260,not sexist
sexism2022_english-250,not sexist
sexism2022_english-333,not sexist
sexism2022_english-5178,not sexist
sexism2022_english-18460,not sexist
sexism2022_english-12237,not sexist
sexism2022_english-14961,not sexist
sexism2022_english-9838,not sexist
sexism2022_english-18040,not sexist
sexism2022_english-8248,not sexist
sexism2022_english-16741,not sexist
sexism2022_english-18504,not sexist
sexism2022_english-12542,sexist
sexism2022_english-1654,not sexist
sexism2022_english-6855,not sexist
sexism2022_english-11238,not sexist
sexism2022_english-1615,not sexist
sexism2022_english-17086,sexist
sexism2022_english-13349,not sexist
sexism2022_english-3114,not sexist
sexism2022_english-2914,not sexist
sexism2022_english-10666,not sexist
sexism2022_english-1197,not sexist
sexism2022_english-13068,not sexist
sexism2022_english-1384,not sexist
sexism2022_english-11545,not sexist
sexism2022_english-9933,not sexist
sexism2022_english-8714,sexist
sexism2022_english-13276,not sexist
sexism2022_english-16701,not sexist
sexism2022_english-9516,not sexist
sexism2022_english-15082,not sexist
sexism2022_english-19567,sexist
sexism2022_english-12131,not sexist
sexism2022_english-15269,not sexist
sexism2022_english-2059,not sexist
sexism2022_english-2759,not sexist
sexism2022_english-4759,not sexist
sexism2022_english-5542,not sexist
sexism2022_english-8205,not sexist
sexism2022_english-19026,not sexist
sexism2022_english-4533,not sexist
sexism2022_english-15958,not sexist
sexism2022_english-19428,not sexist
sexism2022_english-8598,not sexist
sexism2022_english-18322,not sexist
sexism2022_english-10951,not sexist
sexism2022_english-14348,sexist
sexism2022_english-18125,not sexist
sexism2022_english-5409,not sexist
sexism2022_english-8615,sexist
sexism2022_english-11024,not sexist
sexism2022_english-5347,sexist
sexism2022_english-8797,not sexist
sexism2022_english-6986,not sexist
sexism2022_english-8565,not sexist
sexism2022_english-15065,not sexist
sexism2022_english-14327,not sexist
sexism2022_english-3675,not sexist
sexism2022_english-16843,not sexist
sexism2022_english-10149,not sexist
sexism2022_english-17037,not sexist
sexism2022_english-3281,not sexist
sexism2022_english-150,not sexist
sexism2022_english-9839,sexist
sexism2022_english-15696,not sexist
sexism2022_english-970,not sexist
sexism2022_english-5608,not sexist
sexism2022_english-7915,not sexist
sexism2022_english-12149,not sexist
sexism2022_english-5658,not sexist
sexism2022_english-17613,sexist
sexism2022_english-10925,not sexist
sexism2022_english-9022,sexist
sexism2022_english-16561,sexist
sexism2022_english-19422,sexist
sexism2022_english-1123,sexist
sexism2022_english-13657,not sexist
sexism2022_english-17269,not sexist
sexism2022_english-12873,not sexist
sexism2022_english-618,not sexist
sexism2022_english-10881,not sexist
sexism2022_english-15275,not sexist
sexism2022_english-7846,sexist
sexism2022_english-13392,sexist
sexism2022_english-1816,not sexist
sexism2022_english-6249,not sexist
sexism2022_english-15113,not sexist
sexism2022_english-14965,not sexist
sexism2022_english-18977,not sexist
sexism2022_english-15688,not sexist
sexism2022_english-2803,not sexist
sexism2022_english-9255,not sexist
sexism2022_english-13281,not sexist
sexism2022_english-3967,not sexist
sexism2022_english-13592,not sexist
sexism2022_english-13608,not sexist
sexism2022_english-11416,sexist
sexism2022_english-2156,not sexist
sexism2022_english-2832,not sexist
sexism2022_english-15230,not sexist
sexism2022_english-13937,not sexist
sexism2022_english-1256,not sexist
sexism2022_english-2271,not sexist
sexism2022_english-7049,not sexist
sexism2022_english-14687,not sexist
sexism2022_english-12674,not sexist
sexism2022_english-6388,not sexist
sexism2022_english-6138,not sexist
sexism2022_english-9605,not sexist
sexism2022_english-17486,sexist
sexism2022_english-17521,not sexist
sexism2022_english-18498,not sexist
sexism2022_english-6929,sexist
sexism2022_english-6046,sexist
sexism2022_english-15721,not sexist
sexism2022_english-608,not sexist
sexism2022_english-9514,not sexist
sexism2022_english-12510,not sexist
sexism2022_english-8612,not sexist
sexism2022_english-7660,sexist
sexism2022_english-12787,sexist
sexism2022_english-6871,sexist
sexism2022_english-14710,not sexist
sexism2022_english-158,not sexist
sexism2022_english-1861,sexist
sexism2022_english-15039,sexist
sexism2022_english-6752,not sexist
sexism2022_english-16146,not sexist
sexism2022_english-2324,not sexist
sexism2022_english-9393,not sexist
sexism2022_english-7086,not sexist
sexism2022_english-4383,sexist
sexism2022_english-1293,not sexist
sexism2022_english-7503,not sexist
sexism2022_english-8066,sexist
sexism2022_english-8545,not sexist
sexism2022_english-6370,not sexist
sexism2022_english-13412,not sexist
sexism2022_english-15153,sexist
sexism2022_english-1239,not sexist
sexism2022_english-17990,not sexist
sexism2022_english-8363,not sexist
sexism2022_english-2592,not sexist
sexism2022_english-13595,not sexist
sexism2022_english-17216,not sexist
sexism2022_english-7822,not sexist
sexism2022_english-4189,not sexist
sexism2022_english-17147,not sexist
sexism2022_english-11319,not sexist
sexism2022_english-3776,not sexist
sexism2022_english-10198,not sexist
sexism2022_english-9814,not sexist
sexism2022_english-10776,not sexist
sexism2022_english-10522,sexist
sexism2022_english-16650,sexist
sexism2022_english-50,not sexist
sexism2022_english-18584,not sexist
sexism2022_english-11111,not sexist
sexism2022_english-6671,not sexist
sexism2022_english-8114,not sexist
